year,sales(in billion U.S. dollars)
92,77.79
93,79.71
94,81.99
95,85.84
96,91.81
97,98.82
98,108.42
99,121.28
00,130.86
01,141.77
02,153.94
03,165.52
04,169.23
05,179.17
06,191.02
07,202.28
08,210.86
09,217.26
10,222.23
11,231.25
12,229.95
13,235.55
14,250.55
15,263.47
16,271.88
17,276.92
18,285.87
